track_id,track_name,track_artist,track_popularity,playlist_name,playlist_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
6PM1sGUlHGCssd7nTPuuYa,We Right Here,DMX,0,Gangster Rap Workout,rap,0.67,0.675,-5.637,0.196,0.00529,3.14e-06,0.686,185.903,267707.0
5X0FDRaiN7aBScXyJwEPMG,Pink Dance ピンクのダンス,Future Girlfriend 音楽,0,Japanese Funk/Soul/NEO/Jazz/Acid,r&b,0.7,0.814,-5.015,0.0731,0.000239,0.0975,0.653,119.978,176000.0
7htDscKfA7KiwCrTzafoNn,Mentira (feat. Ely Guerra),Beto Cuevas,35,Latin Pop Songs,latin,0.524,0.725,-5.432,0.0356,0.011,7.09e-06,0.225,130.02,261113.0
3rKvEszFkblVdDlUc3jlBk,I Try,Kenza Blanka,29,SINULOG Festival 2020,edm,0.485,0.321,-11.356,0.0307,0.275,0.00786,0.0734,119.902,205379.0
3FfWLi2e80rgn2Q02OhcbR,Galaxy,Paul van Dyk,54,Trance Party 2019 by FUTURE TRANCE,edm,0.618,0.937,-5.682,0.0559,0.00805,0.213,0.0351,138.023,236522.0
6BIcjFZIVDZxNAcofRFPx4,So Gone,Monica,67,The Sound of Urban Contemporary,r&b,0.618,0.552,-6.863,0.0981,0.176,0.0,0.586,81.975,242773.0
3pkAXVKxK1ctM2xyI11lwF,Yes,13-Side,25,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,Edm ,0.814,0.958,-6.66,0.0786,0.00016,0.901,0.494,122.013,323126.0
0Vth3l4XAo8hNYmxjzhr2y,On And On,Stephen Bishop,59,Soft Rock Drive,rock,0.57,0.462,-10.483,0.0283,0.74,0.000223,0.545,102.3,181893.0
60BtUdWzbKtpcXacm07m6b,Animal,Upchurch,42,Southern soul & hip hop,rap,0.548,0.728,-5.417,0.0362,0.0687,0.0,0.499,130.045,152341.0
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),Clean Bandit,72,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.549,120.97,227833.0
0Gc1AVYqYOR522Nvz68dsT,The Hum - Short Edit,Dimitri Vegas & Like Mike,45,Big Room House | Festival Bangers,edm,0.729,0.947,-3.103,0.0458,0.211,0.822,0.209,130.005,211000.0
15zRvbhG0iYq5XS8rGcObO,Show Me Love,Sandeville,54,EDM 2020 House & Dance,edm,0.504,0.74,-6.13,0.0806,0.0726,0.0,0.186,123.753,180000.0
35IvqtoxYL3H9qB3hSQUES,Nights (feat. Ralph Larenzo),Axollo,14,Female Vocal EDM, Edm,0.701,0.625,-4.825,0.0573,0.405,0.0,0.348,117.966,266568.0
6FEKEO3y7QFcMwoGeR0GtU,Crimson and Clover,Tommy James & The Shondells,56,Classic Rock Greatest Hits,rock,0.456,0.609,-11.767,0.068,0.275,0.0198,0.682,84.441,209800.0
3HFR7F0YZ3OW6PCpkfglIt,Fool - Original Mix,Geek Boy,17,CHRISTIAN ELECTRO / DANCE / EDM, Edm,0.506,0.746,-6.155,0.0335,0.00769,0.0699,0.309,72.977,
3CMVjlbvNJMHDfYPX7xCpi,It's Oh So Quiet,Björk,60,The Sound of Permanent Wave,rock,0.461,0.129,-14.189,0.0565,0.652,0.0,0.246,129.19,218733.0
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,72,permanent wave,rock,0.635,0.675,-3.445,0.0263,0.0801,0.0,0.273,113.946,208760.0
4fbvXwMTXPWaFyaMWUm9CR,Holocene,Bon Iver,70,Ultimate Indie Presents... Best Indie Tracks of the 2010s,r&b,0.375,0.304,-14.52,0.0302,0.943,0.303,0.147,,336613.0
2HP5PP8SVmoUvGKnJRodCp,Me Against the World,Blacklite District,42,Hard Rock Workout,rock,0.582,0.7,-7.654,0.0337,0.000519,2.06e-06,0.415,119.974,214007.0
7vx7HOQC2qn5L7Qj4NXSmd,Right On Time - Original Mix,Spencer & Hill,2,Electro/Progressive/Club House,edm,0.821,0.574,-7.674,0.108,0.0214,0.686,0.591,127.989,
7GvzyeeBMoDlC9OziuPMQQ,Ok Without You,Klaas,67,EDM 2020 House & Dance,edm,0.665,0.787,-6.026,0.099,0.011,0.000428,0.252,124.989,170880.0
0U0Rk6KwSKt0tOrtB4FmA7,MS Siskat,AJÉ,0,GANGSTA Rap,rap,0.794,0.489,-11.484,0.401,0.236,2.05e-06,0.087,123.916,288402.0
24G3gIRBrI94XfUyjc0pxI,Metropolis - 2009 Remastered Version,Kraftwerk,36,Electropop And Play,pop,0.564,0.795,-9.391,0.0311,0.00118,0.781,0.49,122.719,361107.0
5Q7cE6wGHMehLFo2ppkk5D,One Way Or Another,Blondie,55,HARD ROCK CAFE,rock,0.445,0.872,-6.294,0.0602,0.00402,0.00909,0.834,162.407,208360.0
6iuoLH4plEeIebSk3tVgmP,That New York,Fredro Starr,13,Contemporary Hip Hop,rap,0.542,0.654,-6.304,0.316,0.151,0.0,0.125,176.474,198005.0
4bwzssgMDOz3nfxkpSqTj8,Here Tonight,Dash Berlin,36,"Electrónica, Progressive House, Electro House y más 🎧",edm,0.548,0.753,-2.371,0.044,0.141,0.0,0.345,127.965,203438.0
2P3SLxeQHPqh8qKB6gtJY2,Poetic Justice,Kendrick Lamar,68,Hip Hop Controller,rap,0.779,0.572,-9.985,0.378,0.157,0.0,0.647,135.956,
7dLOOzJGQnsgqFcflWiEcZ,Only You,Hogland,54,Tropical House 🏝 2020 Hits,latin,0.565,0.732,-4.354,0.0716,0.193,0.0,0.265,114.901,182609.0
2lm3Ric7MeBk8hLfsiVokr,Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto),Dilsinho,72,Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas,edm,0.485,0.648,-6.465,0.0362,0.862,0.0,0.692,148.052,196831.0
3DkaXDmC0qaFNAxgLMuwX4,Dontchange - Album Version (Edited),Musiq Soulchild,50,Neo-Soul Essentials,r&b,0.543,0.526,-6.664,0.0316,0.218,0.0,0.2,101.966,304427.0
6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),Run–D.M.C.,68,Badass Rock,rap,0.759,0.578,-12.56,0.0468,0.00796,8.18e-05,0.944,105.598,309760.0
4OqlMMluU6knK0AcWNla8i,For Better or Worse,Sir Charles Jones,36,Southern Soul BBQ Mix,rap,0.83,0.493,-7.904,0.0852,0.456,0.0,0.714,116.009,313827.0
2CZp6sRzNcCPkvnrzy89bF,Claridad,El Otro Polo,46,Vibra Tropical,latin,0.823,0.576,-8.984,0.0684,0.196,6.66e-06,0.787,150.017,173292.0
03luBoYUGOMJJvAhhjeGfy,One Stop Love - Radio Mix,Spencer & Hill,0,Electro/Progressive/Club House,edm,0.663,0.769,-6.67,0.264,0.0456,0.383,0.825,127.951,185060.0
3DIcXYEOAfgnJlGPGsYA34,Serendipia - Original Mix,Raffa Vergara,1,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid, Edm,0.705,0.705,-9.715,0.045,0.00498,0.926,0.212,123.986,402581.0
7IRQl8neWUlBT7UFcLg6n6,Dearly Departed,Jelly Roll,44,Southern soul & hip hop,rap,0.803,0.653,-6.67,0.109,0.0891,0.0,0.533,115.03,
1s3DmLaz2fIukAwMwUWTQb,Can't Hide from Love,Roberto Marín Muñoz,36,Electro Vibes,edm,0.613,0.81,-4.553,0.03,4.1e-05,3.11e-05,0.573,120.045,185871.0
41ZcBumDBhCqSCWTH4KVdq,Wave,The Midnight,45,Electropop And Play,pop,0.579,0.713,-9.434,0.0583,0.00669,0.000166,0.143,113.031,
5tXg9mqG6pLXVevnB9NqNH,We Don't Have To Take Our Clothes Off - Mulshine Remix,Vivid Color,50,Tropical Vibes,latin,0.712,0.61,-9.331,0.0376,0.000892,1.04e-06,0.344,111.016,202444.0
6wp5tGVNQYpKJPo1s3WUEY,Liquid Spirit - Claptone Remix,Gregory Porter,63,💊ELECTRO-HOUSE-TECH💊,edm,0.877,0.62,-9.069,0.0549,0.00406,0.388,0.296,120.997,383552.0
0dA58RZci59FbrNbNbhGJj,Un Sueño,R.K.M & Ken-Y,59,Reggaeton De Ayer,latin,0.796,0.589,-8.1,0.0749,0.274,0.0345,0.764,95.019,254669.0
7HQXmaJZclCLRlB2pCcUB5,Weapon of Choice - Chores & Terace Remix,Fatboy Slim,28,Deep Electronic Music 2020 & Progressive House,edm,0.663,0.846,-6.495,0.102,0.0251,0.153,0.315,110.038,283471.0
0Qp1IH1EkRCNabfgzxNMUT,The Wall,Alok,61,EDM 2020 House & Dance,edm,0.682,0.91,-2.314,0.0431,0.00953,0.0673,0.536,122.943,159500.0
2SSySqj3PyoeAW1XT83qQ3,Famous,TAEMIN,55,Best of 2019 Dance Pop: Japan,pop,0.818,0.796,-4.455,0.133,0.00278,0.0326,0.697,115.032,180187.0
2k9Mr779AIfm1as7TXEh0g,Writing On The Wall,Anthony Hamilton,30,Neo-Soul Essentials,r&b,0.756,0.488,-7.439,0.0941,0.109,0.0,0.877,91.995,207680.0
0E7PBMpzhUZXkitQvbWZdf,Molly,Ixzo,0,Urban/Trap - Contemporary RAP,r&b,0.92,0.407,-10.83,0.166,0.327,0.0,0.3,114.997,202296.0
02yLzMazdCqRGUDcW1cbxC,Morseton 2.0 (Elektro Pop Cut),Heiko & Maiko,21,Electro/Progressive/Club House,edm,0.924,0.629,-6.753,0.074,0.00401,0.805,0.543,130.004,202284.0
1Un1dsZkA9cfZMLOXOyUBc,Bia' Bia',Lil Jon,42,Dirty South Rap Classics by DJ HOTSAUCE,Rap ,0.768,0.7,-8.021,0.305,0.00185,0.0,0.659,79.996,
55gL8ViNVX3YX8nxv1L4Uw,Side 2 Side - feat. Bow Wow & Project Pat - Explicit,Three 6 Mafia,43,Southern Hip Hop,rap,0.825,0.745,-7.273,0.109,0.00857,0.0,0.542,169.836,214547.0
0pUVeEgZuNyFzIMKp67RbS,Eyes Without A Face,Billy Idol,67,permanent wave,rock,0.391,0.815,-6.197,0.0518,0.0177,0.00226,0.647,84.383,299240.0
48p5E25cFPanxuwCTmTpuL,The Promise,When In Rome,63,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,0.629,0.876,-10.141,0.0444,0.0864,7.72e-05,0.358,118.01,220960.0
1XVG9J4jQRg3Ox7WHM6ztO,Ya No Te Quiero,Luz Pinos,47,Vibra Tropical,latin,0.845,0.403,-10.56,0.046,0.324,0.0832,0.377,,224293.0
16VvTsMS2Uj0f4vnIILYu8,Let My Love,Tanya Montana Coe,0,Sexy Soul 2020,r&b,0.659,0.498,-5.712,0.0254,0.688,0.221,0.324,119.994,186114.0
0eJzykWzPq1TW7hrvMxKc9,I Made It (feat. Trick Trick),D12,38,Gangsta Rap/90's Hip-Hop,Rap ,0.665,0.658,-8.1,0.279,0.00509,0.0,0.426,90.018,321203.0
7qfwcqfGOkQYtzjF4UzJHM,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,59,Gym (Melbourne Bounce/Progressive House),edm,0.347,0.772,-4.359,0.0549,0.0597,0.0333,0.035,,191412.0
4yLOB87ABVGslKVNRq3qPl,Don't Hold Us - Radio Edit,Thomas Newson,24,♥ EDM LOVE 2020,edm,0.536,0.936,-4.306,0.047,0.00547,0.000155,0.624,127.938,189375.0
155XcCEwMrHE3YcJciCnvi,Juanita la Chismosa,El Caribefunk,50,Vibra Tropical,latin,0.761,0.606,-4.686,0.0376,0.652,0.0,0.956,90.028,
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,64,GANGSTA RAP,rap,0.772,0.413,-8.193,0.089,0.0361,0.0,0.211,131.965,246213.0
6L3VWDPDTQkQFkqvmpAUMU,Something To Believe In,Young the Giant,60,Indie Poptimism, Pop,0.623,0.886,-3.044,0.0404,0.0245,0.0,0.709,,228467.0
7rKCxh1LEubDSotIwPA75Y,Rhayader - Instrumental Single Edit,Camel,0,Progressive Rock / Metal - Rock /Metal  Progresivo,rock,0.445,0.428,-12.648,0.0283,0.755,0.957,0.644,143.615,191093.0
1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,65,Classic Rock Legends,rock,0.427,0.626,-11.821,0.0385,0.0274,0.00395,0.743,126.877,219587.0
